Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name,Year
2019-10-04,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,360.0,Digital F5,2019
2019-10-02,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4680.0,3Rdflix,2019
2019-09-05,Fin-Tech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,36.0,Myelin Foundry,2019
2019-09-04,Fin-Tech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,26.4,Atomberg Technology,2019
2019-09-04,Advertising & Marketing Community Networking platform,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,48.0,Goqii,2019
2019-09-04,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-Series A,40.0,Vyapar App,2019
2019-09-04,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,144.0,Progcap,2019
2019-09-04,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed Funding Round,8.0,Mypetrolpump,2019
2019-09-04,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,80.0,Alteria Capital,2019
2019-09-04,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3600.0,Pine Labs,2019
2019-09-03,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,40.0,Meesho,2019
2019-08-01,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,40.0,Uniphore,2019
2019-08-01,Retail,Fuel Delivery,Bengaluru,Undefined,Seed Funding Round,12.8,Zendrive,2019
2019-08-01,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1120.0,Lo! Foods,2019
2019-08-01,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,304.64,Tala,2019
2019-08-12,E-commerce,Social Commerce,Bengaluru,Naspers,Series D,1000.0,Indwealth,2019
2019-08-13,E-commerce,Car Retail,Gurugram,MS Dhoni,Series D,88.0,Hungerbox,2019
2019-08-13,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,408.0,Admitkard,2019
2019-08-23,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,296.0,Grofers,2019
2019-08-23,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding Round,4.0,Rapido Bike Taxi,2019
2019-08-23,Fin-Tech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,880.0,Renewbuy,2019
2019-08-22,Fin-Tech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,120.0,Atlan,2019
2019-08-21,Food & Beverages,B2B Foodtech,Bengaluru,One97 Communications Ltd,Series C,52.72,Wizcounsel,2019
2019-08-23,Ed-Tech,University Admissions,Noida,Growth DNA,Seed Funding Round,8.0,Ola Cabs,2019
2019-08-19,E-commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,560.0,Byjus,2019
2019-08-27,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,31200.0,Moglix,2019
2019-07-02,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,152.0,Ezyhaul,2019
2019-07-02,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.0,Indus Os,2019
2019-07-01,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.16,Healthassure,2019
2019-07-03,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.0,House Of Msasaba,2019
2019-07-04,Food & Beverages,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding Round,4.0,Nobroker,2019
2019-07-10,Ed-Tech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1200.0,Bira91,2019
2019-07-11,E-commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,480.0,Avail Finance,2019
2019-07-10,Tech,Logistics,Singapore,Undisclosed,Series B,128.0,Bharatpe,2019
2019-07-10,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,46.0,Recykal,2019
2019-07-10,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.0,Agara Labs,2019
2019-07-09,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.0,Chakr Innovation,2019
2019-07-08,Ed-Tech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.56,Bolo App,2019
2019-06-05,E-commerce,Real Estate,Bengaluru,General Atlantic,Series C,408.0,Okcredit,2019
2019-06-04,Food & Beverages,Brewery,New Delhi,Anicut Capital,Debt Funding,80.0,Biz2Credit,2019
2019-06-03,Finance,FinTech,Bengaluru,Matrix Partners,Series A,72.0,Leegality,2019
2019-06-04,Finance,FinTech,New Delhi,Insight Partners,Series B,600.0,Saahas Zero Waste,2019
2019-06-04,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,208.0,Blackbuck,2019
2019-06-03,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Pre-Series A,20.0,Zenoti,2019
2019-06-06,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,208.0,Freshvnf,2019
2019-06-10,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding Round,3.44,Kuvera,2019
2019-06-10,Fin-Tech,Financial Services,Haryana,Tiger Global Management,Series A,124.0,Medlife,2019
2019-06-06,Fin-Tech,Online Lending Platform,New York,WestBridge Capital,Series B,416.0,Kabadiwala,2019
2019-06-08,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,28.67,Tripoto,2019
2019-06-04,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,27.2,Azah,2019
2019-05-06,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,6.95,Toppr,2019
2019-05-01,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation",Series D,1200.0,Unacademy,2019
2019-05-02,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,400.0,Clevertap,2019
2019-05-28,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,408.0,My Healthcare,2019
2019-05-28,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding Round,1120.0,Krazybee,2019
2019-05-30,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,92.0,Increff,2019
2019-04-16,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,360.0,Nanoclean Global,2019
2019-04-12,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,136.0,Oyorooms,2019
2019-04-10,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport",Private Equity,3.45,Vyome Therapeutics Inc,2019
2019-04-13,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,28.73,Samunnati Financial Intermediation & Services Pvt. Ltd,2019
2019-04-12,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding Round,1.6,Manch,2019
2019-04-11,Fin-Tech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding Round,28.0,Urbanclap Technologies Pvt. Ltd,2019
2019-04-10,Ed-Tech,E-learning,Mumbai,Milestone,Debt Funding And Preference Capital,50.57,Guiddoo,2019
2019-04-10,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,19.55,Career Anna,2019
2019-04-10,Ed-Tech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed Funding Round,2.46,Nagpur Wholesale,2019
2019-04-11,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,208.0,Shopkirana,2019
2019-04-19,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.0,Buildsupply,2019
2019-04-19,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,114.74,Godesi,2019
2019-04-17,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,24.0,Mobile Premier League,2019
2019-02-08,E-commerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1808.0,Milkbasket,2019
2019-02-13,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.8,Driveu,2019
2018-02-14,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,800.0,Cleansecar,2018
2019-01-04,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,176.0,Healthifyme,2019
2019-01-04,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt Funding,40.0,Genius Corner,2019
2018-12-04,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding Round,5.6,Aavishkaar-Intellecap Group,2018
2018-12-01,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital,Series D,400.0,Signzy,2018
2018-12-02,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.4,Engineer.Ai,2018
2018-12-02,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.58,Incred Finance,2018
2018-12-04,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding Round,1.14,Roposo,2018
2018-12-06,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate",Seed Funding Round,16.0,Origo Commodities India Pvt. Ltd,2018
2018-12-06,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28.0,Grover Zampa,2018
2018-11-01,Food & Beverages,Regional Flavours,Bengaluru,Lead Angels Network,Seed Funding Round,1.11,Droom,2018
2018-11-03,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,222.39,Innov8,2018
2018-11-08,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4.0,Netmeds,2018
2018-11-08,Food & Beverages,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8.0,Daily Hunt,2018
2018-11-12,Food & Beverages,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.4,Nykaa,2018
2018-11-13,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8.0,Dream11,2018
2018-11-14,Services,Car Wash,Bengaluru,Venture Catalysts,Seed Funding Round,4.0,Autogrid,2018
2018-11-19,Automation,Robotics,California,SoftBank Vision Fund,Series B,2400.0,Pharmeasy,2018
2018-11-20,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital",Series B (Extension),48.0,Upwards,2018
2018-11-21,Education,Personalized Learning,Noida,Individual investors,Seed Funding Round,2.22,Kissht,2018
2018-11-22,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Funding,248.0,Dishq,2018
2018-11-23,Fin-Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,27.2,Ziffyhomes,2018
2018-11-24,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore",Series A,236.0,My Omnamo,2018
2018-11-25,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,336.0,Shopx,2018
2018-11-25,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,13.6,Makemytrip,2018
2018-10-02,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Funding Round,88.0,Metro Bikes,2018
2018-10-04,Food & Beverages,Wine,Mumbai,Ravi Viswanathan,Private Equity,65.6,Phone Pe,2018
2018-10-05,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,24.0,Quizizz,2018
2018-10-11,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,32.0,Happy Emi,2018
2018-10-12,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,96.0,Observe Ai,2018
2018-09-01,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,280.0,Enakshi,2018
2018-09-03,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,51.12,Finzy,2018
2018-09-04,Health Care,Healthcare Service Provider,Delhi,Undefined,Seed Funding Round,8.0,Rawpressery,2018
2018-09-05,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,1257.6,Revv,2018
2018-09-06,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,800.0,Shubh Loans,2018
2018-09-11,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,256.0,Narvar,2018
2018-09-11,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,44.0,True North,2018
2018-09-11,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,40.0,Biryani By Kilo,2018
2018-09-12,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,240.0,Anchanto,2018
2018-08-01,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed Funding Round,3.2,Loan Tap,2018
2018-08-02,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,56.0,Zippserv,2018
2018-08-03,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,0.96,Groww,2018
2018-08-07,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undefined,Seed Funding Round,8.0,Avenue Growth,2018
2018-08-07,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,280.0,Kinara Capital,2018
2018-08-07,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,80.0,Shop 101,2018
2018-08-08,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed Funding Round,32.0,Sambandh,2018
2018-08-08,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,97.6,19Th Mile,2018
2018-08-08,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,528.0,5Th Vital,2018
2018-08-09,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed Funding Round,24.0,Mengage,2018
2018-08-09,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed Funding Round,8.0,Ofbusiness,2018
2018-08-13,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed Funding Round,32.0,The Ken,2018
2018-08-13,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,64.0,Book My Show,2018
2018-08-16,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Undefined,Seed Funding Round,0.92,Housingman,2018
2018-08-17,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,46.8,Paysense,2018
2018-08-20,Finance,Online Loan Matchmaking Platform,Bengaluru,Undefined,Seed Funding Round,8.0,Vtion,2018
2018-08-20,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,38.4,Log9 Materials,2018
2018-08-22,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,48.0,Kidovators,2018
2018-08-22,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,114.16,Digit,2018
2018-08-26,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,107.2,Black Soil,2018
2018-08-26,Fin-Tech,xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,33.6,Iqlect,2018
2018-08-27,Health Care,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,40.0,Entropik,2018
2018-08-28,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,24.0,Thecapitalnet,2018
2018-08-30,Finance,Private Equity Firm,Mumbai,Undefined,Private Equity,4800.0,Cure Fit,2018
2018-07-02,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed Funding Round,8.0,Healthsignz,2018
2018-07-04,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,32.0,Cointribe,2018
2018-07-05,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,50.0,Digiconectt,2018
2018-07-06,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,221.6,Annapurna Finance,2018
2018-07-09,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed Funding Round,3.52,Ayefinance,2018
2018-07-09,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed Funding Round,8.8,Alpha Capital,2018
2018-07-10,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed Funding Round,3.5,Eshakti,2018
2018-07-10,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,40.0,Nirogstreet,2018
2018-07-10,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,40.0,Nivesh,2018
2018-07-11,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,20.0,Homelane,2018
2018-07-12,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed Funding Round,1.44,Network Intelligence,2018
2018-07-12,Health Care,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed Funding Round,4.0,Tynor Othontics,2018
2018-07-13,Health Care,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others",Seed Funding Round,1.4,Elucidata,2018
2018-07-17,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,232.0,Rentsher,2018
2018-07-18,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed Funding Round,12.0,Wickedride,2018
2018-07-19,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,800.0,Hipbar,2018
2018-07-20,Consumer Internet,Property Discovery Platform,Bengaluru,Undefined,Seed Funding Round,12.0,Sqqrl,2018
2018-07-21,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,144.0,Sigtuple,2018
2018-07-23,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar",Seed Funding Round,2.24,Front Desk Ai,2018
2018-07-23,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed Funding Round,3.49,Edureka,2018
2018-07-24,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed Funding Round,1.44,Opentap,2018
2018-07-24,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,360.0,Bizongo,2018
2018-07-25,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,136.0,Disprz,2018
2018-07-25,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed Funding Round,20.0,I3Sysytems,2018
2018-07-26,IT,Software-As-A-Service Platform,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed Funding Round,8.8,Earth Food,2018
2018-07-26,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,4.0,Rocketium,2018
2018-07-30,Consumer Internet,Health and fitness Platform,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,960.0,Cashkumar,2018
2018-07-31,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,800.0,Edyoo,2018
2018-07-31,Health Care,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed Funding Round,40.0,Aashiyaan,2018
2018-06-01,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,80.0,Smartivity,2018
2018-06-04,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed Funding Round,1.0,Bonphulapl,2018
2018-06-07,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,184.0,Tonetag,2018
2018-06-10,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,172.0,Credright,2018
2018-06-12,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,118.4,Synctag,2018
2018-06-12,E-commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,80.8,Varthana,2018
2018-06-12,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed Funding Round,24.0,Indigolearn,2018
2018-06-13,Health Care,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed Funding Round,2.4,Vedantu,2018
